"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"1","Acacia cyclops","1","189123","Acacia cyclops","1","species","","","","A.Cunn. ex G.Don","Fabaceae","Acacia","Acacia","1","cyclops","cyclops","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000192127;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470108-1","","Y","Accepted","Acacia cyclops","Acacia cyclops","A.Cunn. ex G.Don","189123","species","https://www.worldfloraonline.org/taxon/wfo-0000192127;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470108-1","","Fabaceae",1,"1","wfo,wcvp","","1",true,true
"2","Acacia mearnsii","1","199931","Acacia mearnsii","1","species","","","","De Wild.","Fabaceae","Acacia","Acacia","1","mearnsii","mearnsii","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000203882;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470860-1","","Y","Accepted","Acacia mearnsii","Acacia mearnsii","De Wild.","199931","species","https://www.worldfloraonline.org/taxon/wfo-0000203882;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470860-1","","Fabaceae",1,"1","wfo,wcvp","","2",true,true
"3","Acacia melanoxylon","1","200107","Acacia melanoxylon","1","species","","","","R.Br.","Fabaceae","Acacia","Acacia","1","melanoxylon","melanoxylon","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000204086;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470873-1","","Y","Accepted","Acacia melanoxylon","Acacia melanoxylon","R.Br.","200107","species","https://www.worldfloraonline.org/taxon/wfo-0000204086;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470873-1","","Fabaceae",1,"1","wfo,wcvp","","3",true,true
"4","Acacia saligna","1","1041111","Acacia saligna","1","species","","","","(Labill.) H.L.Wendl.","Fabaceae","Acacia","Acacia","1","saligna","saligna","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001054072;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:471383-1","","Y","Accepted","Acacia saligna","Acacia saligna","(Labill.) H.L.Wendl.","1041111","species","https://www.worldfloraonline.org/taxon/wfo-0001054072;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:471383-1","","Fabaceae",1,"1","wfo,wcvp","","4",true,true
"5","Acrosanthes humifusa","1","512494","Acrosanthes humifusa","1","species","","","","(Thunb.) Sond.","Aizoaceae","Acrosanthes","Acrosanthes","1","humifusa","humifusa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000518925;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360448-1","","Y","Accepted","Acrosanthes humifusa","Acrosanthes humifusa","(Thunb.) Sond.","512494","species","https://www.worldfloraonline.org/taxon/wfo-0000518925;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360448-1","","Aizoaceae",1,"1","wfo,wcvp","","5",true,true
"6","Agathosma ovata","1","517100","Agathosma ovata","1","species","","","","(Thunb.) Pillans","Rutaceae","Agathosma","Agathosma","1","ovata","ovata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000523548","","Y","Accepted","Agathosma ovata","Agathosma ovata","(Thunb.) Pillans","517100","species","https://www.worldfloraonline.org/taxon/wfo-0000523548","","Rutaceae",1,"1","wfo","","6",true,true
"6","Agathosma ovata","1","1643625","Agathosma ovata","1","species","","","","(Thunb.) F.Dietr.","Rutaceae","Agathosma","Agathosma","1","ovata","ovata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:771026-1","","Y","Accepted","Agathosma ovata","Agathosma ovata","(Thunb.) F.Dietr.","1643625","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:771026-1","","Rutaceae",2,"2","wcvp","","6",false,false
"7","Aspalathus spinosa","1","206906","Aspalathus spinosa","1","species","","","","L.","Fabaceae","Aspalathus","Aspalathus","1","spinosa","spinosa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000211493;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:475820-1","","Y","Accepted","Aspalathus spinosa","Aspalathus spinosa","L.","206906","species","https://www.worldfloraonline.org/taxon/wfo-0000211493;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:475820-1","","Fabaceae",1,"1","wfo,wcvp","","7",true,true
"8","Brabejum stellatifolium","1","563503","Brabejum stellatifolium","1","species","","","","L.","Proteaceae","Brabejum","Brabejum","1","stellatifolium","stellatifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000570189;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:703232-1","","Y","Accepted","Brabejum stellatifolium","Brabejum stellatifolium","L.","563503","species","https://www.worldfloraonline.org/taxon/wfo-0000570189;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:703232-1","","Proteaceae",1,"1","wfo,wcvp","","8",true,true
"9","Callistemon viminalis","1","768505","Callistemon viminalis","1","species","","","","(Sol. ex Gaertn.) G.Don","Myrtaceae","Callistemon","Callistemon","1","viminalis","viminalis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000776564","","Y","Synonym","Melaleuca viminalis","Melaleuca viminalis","(Sol. ex Gaertner) Byrnes","235059","species","https://www.worldfloraonline.org/taxon/wfo-0000239912","","Myrtaceae",1,"1","wfo","","9",true,true
