"Sort","Site","Date","time collected","time burnt","BurnSession","replicate","species_code","species_name","Taxonomic_status","Accepted_name","Accepted_family","growth_form","Vegtype","TimeToFlaming(s)","PostBurntMassEstimate(%)","MaximumFlameTemperature(°C)","blowtorch","FlammabilityIndex","FMC(%)","FMC_proportion","DataSource","Origin"
1,"Cederberg",2024-12-10,"AM","10:10","10AM - 1PM",1,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",52,55,734.7,0,2.06072439937883,41.734860883797,0.41734860883797,"PhD","Native"
2,"Cederberg",2024-12-10,"AM","10:20","10AM - 1PM",1,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,90,218.8,1,1.21706099083463,44.6483180428135,0.446483180428135,"PhD","Native"
3,"Cederberg",2024-12-10,"AM","10:30","10AM - 1PM",1,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",40,0,777.7,0,1.63757802746567,51.9132653061224,0.519132653061225,"PhD","Native"
4,"Cederberg",2024-12-10,"AM","10:55","10AM - 1PM",1,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",120,70,696.6,1,1.60380926281173,39.4366197183099,0.394366197183099,"PhD","Native"
5,"Cederberg",2024-12-10,"AM","10:59","10AM - 1PM",1,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,90,376.2,1,1.4135653603727,41.7910447761194,0.417910447761194,"PhD","Native"
6,"Cederberg",2024-12-10,"AM","11:06","10AM - 1PM",1,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",120,50,666.8,1,1.35684966962029,50.3115264797508,0.503115264797508,"PhD","Native"
7,"Cederberg",2024-12-10,"AM","11:14","10AM - 1PM",2,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",120,80,437.5,1,1.38521664991931,38.7205387205387,0.387205387205387,"PhD","Native"
8,"Cederberg",2024-12-10,"AM","11:19","10AM - 1PM",2,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",103,20,319.2,0,0.749924636886818,39.5061728395062,0.395061728395062,"PhD","Native"
9,"Cederberg",2024-12-10,"AM","11:25","10AM - 1PM",2,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",40,5,678.4,0,1.56604701440273,46.6376089663761,0.466376089663761,"PhD","Native"
10,"Cederberg",2024-12-10,"AM","11:37","10AM - 1PM",2,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",52,60,448.9,0,1.75635942876283,38.2892057026477,0.382892057026477,"PhD","Native"
11,"Cederberg",2024-12-10,"AM","11:46","10AM - 1PM",2,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,60,325.7,1,1.03588502177157,36.9047619047619,0.369047619047619,"PhD","Native"
12,"Cederberg",2024-12-10,"AM","11:52","10AM - 1PM",2,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",7,0,619,0,1.7144506866417,45.4370797310279,0.454370797310279,"PhD","Native"
13,"Cederberg",2024-12-10,"AM","12:11","10AM - 1PM",3,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",25,20,591.3,0,1.73962501141865,41.5745856353591,0.415745856353591,"PhD","Native"
14,"Cederberg",2024-12-10,"AM","12:20","10AM - 1PM",3,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,75,263.3,1,1.11529947321945,39.0681003584229,0.390681003584229,"PhD","Native"
15,"Cederberg",2024-12-10,"AM","12:26","10AM - 1PM",3,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",33,80,430.7,0,2.10172726165464,52.2377622377622,0.522377622377622,"PhD","Native"
16,"Cederberg",2024-12-10,"AM","12:32","10AM - 1PM",3,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",48,60,445.8,0,1.78582259979903,40.3825717321998,0.403825717321998,"PhD","Native"
17,"Cederberg",2024-12-10,"AM","12:38","10AM - 1PM",3,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",88,70,350.7,0,1.43864072348589,66.8421052631579,0.668421052631579,"PhD","Native"
