"unique_ID","scientific_name_original","genus_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","latitude","longitude","subregion","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C"
"726_1_baviaanskloof","Euphorbia grandidens","Euphorbia","Euphorbiaceae","Euphorbia grandidens","Haw.","Euphorbiaceae",-33.55142,24.04194,"baviaanskloof",2011-07-26,"ASH",1,1000,500,500,196349.5408,2,"N",1.360609795,42.02669126,30.8881293,7.547038941,-15.20076096
"726_10_baviaanskloof","Cotyledon woodii","Cotyledon","Crassulaceae","Cotyledon woodii","Schönland & Baker f.","Crassulaceae",-33.55142,24.04194,"baviaanskloof",2011-07-26,"ASH",10,95,105,58,4783.074815,4,"N",0.555052701,43.30490031,78.01943891,4.090359897,-14.60902325
"726_11_baviaanskloof","Senecio ficoides","Senecio","Asteraceae","Senecio ficoides","Sch.Bip.","Asteraceae",-33.55094,24.04128,"baviaanskloof",2011-07-26,"ASH",11,112,115,95,8580.474935,1,"N",0.563865044,42.86770566,76.02476185,1.922860135,-23.93547245
"726_12_baviaanskloof","Rhoicissus digitata","Rhoicissus","Vitaceae","Rhoicissus digitata","(L.f.) Gilg & M.Brandt","Vitaceae",-33.55094,24.04128,"baviaanskloof",2011-07-26,"ASH",12,220,300,350,82466.80716,4,"B",0.868317601,46.66187406,53.73825659,4.111829953,-26.24295706
"726_13_baviaanskloof","Indigofera denudata","Indigofera","Fabaceae","Indigofera denudata","L.f.","Fabaceae",-33.55094,24.04128,"baviaanskloof",2011-07-26,"ASH",13,120,58,50,2277.654674,4,"L",1.329070372,47.45361796,35.70436822,-0.642811578,-26.79959994
"726_14_baviaanskloof","Hermannia involucrata","Hermannia","Malvaceae","Hermannia involucrata","Cav.","Malvaceae",-33.54049,24.07991,"baviaanskloof",2011-07-26,"ASH",14,138,20,15,235.619449,4,"N",1.062293193,45.21468974,42.56328672,-0.750161859,-27.32699714
"726_15_baviaanskloof","Pentameris eriostoma","Pentameris","Poaceae","Pentameris eriostoma","(Nees) Steud.","Poaceae",-33.54049,24.07991,"baviaanskloof",2011-07-26,"ASH",15,45,70,60,3298.672286,0,"S",0.554483603,44.07813334,79.49402494,0.592692564,-24.28252125
"726_16_baviaanskloof","Osteospermum polygaloides","Osteospermum","Asteraceae","Osteospermum polygaloides","Thunb.","Asteraceae",-33.54049,24.07991,"baviaanskloof",2011-07-26,"ASH",16,140,15,17,200.2765317,2,"N",NA,NA,NA,NA,NA
"726_17_baviaanskloof","Lobelia coronopifolia","Lobelia","Lobeliaceae","Lobelia coronopifolia","L.","Campanulaceae",-33.54049,24.07991,"baviaanskloof",2011-07-26,"ASH",17,23,40,30,942.4777961,4,"B",0.806681642,40.27147963,49.92239507,0.835694563,-26.17471712
"726_18_baviaanskloof","Aristea pusilla","Aristea","Iridaceae","Aristea pusilla","(Thunb.) Ker Gawl.","Iridaceae",-33.54049,24.07991,"baviaanskloof",2011-07-26,"ASH",18,9,9,6,42.41150082,0,"N",0.968464282,43.79275539,45.21876148,0.501932781,-25.37241047
"726_19_baviaanskloof","Helichrysum nudifolium","Helichrysum","Asteraceae","Helichrysum nudifolium","(L.) Less.","Asteraceae",-33.54049,24.07991,"baviaanskloof",2011-07-26,"ASH",19,10,16,13,163.362818,0,"L",1.192633479,36.12921812,30.29364742,0.288208131,-27.49077298
"726_2_baviaanskloof","Panicum maximum","Panicum","Poaceae","Megathyrsus maximus","(Jacq.) B.K.Simon & S.W.L.Jacobs","Poaceae",-33.55142,24.04194,"baviaanskloof",2011-07-26,"ASH",2,60,90,80,5654.866776,1,"B",1.950331153,40.93216578,20.98729014,7.03566124,-13.94417132
